latitude,longitude,acq_date,intensity
58,-118,2023-09-23,1351
58,-120,2023-09-23,1244
-37,149,2020-01-04,1120
-15,-62,2024-09-06,818
-37,-72,2023-02-04,737
-15,-62,2024-09-05,653
58,-119,2023-09-23,645
44,-122,2020-09-08,606
58,-121,2023-09-23,563
-36,147,2003-01-26,516
64,-120,2024-08-10,506
39,-121,2020-09-09,497
-17,-59,2024-09-08,478
37,-119,2020-09-07,456
58,-118,2023-09-16,454
59,-114,2023-09-23,451
44,-122,2020-09-09,450
66,157,2023-07-16,426
-16,-59,2024-08-02,422
-15,-62,2024-09-23,402
-21,140,2024-10-24,399
-36,147,2003-01-25,398
58,-120,2023-09-16,398
-35,148,2003-01-18,378
-17,-58,2024-09-10,377
-36,147,2003-01-21,374
55,-116,2023-05-06,371
-15,-62,2024-09-22,369
44,-122,2020-09-10,365
59,135,2023-08-13,365
-36,147,2020-01-04,363
58,-114,2024-07-19,355
60,-117,2024-08-12,353
66,152,2020-07-26,349
-36,147,2003-01-17,345
53,107,2015-08-08,328
60,-116,2023-08-25,326
59,-121,2023-09-23,326
57,-122,2023-06-09,324
48,-119,2015-08-20,317
-35,148,2020-01-04,316
60,-118,2024-08-10,315
-14,-62,2024-10-02,313
-17,-58,2024-09-08,312
58,-118,2023-09-22,311
60,-117,2024-08-10,304
-36,-72,2023-02-03,301
59,-112,2023-08-14,300
-2,105,2015-10-21,299
-37,-72,2023-02-03,286
58,-114,2024-07-10,286
53,107,2015-08-22,281
62,-123,2024-08-12,281
-14,-62,2024-10-04,280
-14,-62,2024-10-05,277
-2,105,2015-10-19,276
40,-105,2020-10-22,276
-35,136,2020-01-03,275
-18,138,2024-10-09,275
-24,-59,2020-10-01,274
58,-113,2023-09-23,272
-18,136,2023-09-29,271
64,-120,2024-08-08,271
-2,105,2015-10-03,267
59,-120,2023-09-02,265
45,-122,2020-09-09,263
58,-120,2023-08-26,263
61,-112,2023-09-23,263
-33,123,2015-11-17,262
66,157,2023-07-15,261
-16,-60,2024-09-08,260
-38,-72,2023-02-04,259
60,-117,2024-08-13,259
59,-112,2023-06-11,256
59,-121,2024-07-10,256
61,136,2023-08-13,255
37,-119,2020-09-14,254
-15,-63,2024-09-06,253
