Disaster Type,Disaster Subtype,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Magnitude,Magnitude Scale,"Total Damage, Adjusted ('000 US$)",Total Damage ('000 US$),Total Affected,No. Affected,Total Deaths
Flood,Flash flood,4.022,9.2,2001,6.0,28.0,2001,6.0,29.0,1080.0,Km2,0.0,0.0,1500.0,0.0,30.0
Flood,Flash flood,-22.56,-43.36,2006,1.0,27.0,2006,1.0,30.0,9335.0,Km2,0.0,0.0,0.0,0.0,12.0
Flood,Riverine flood,-16.03,-63.43,2006,1.0,25.0,2006,4.0,17.0,955800.0,Km2,54462.0,35000.0,126096.0,126075.0,25.0
Flood,Flash flood,17.02,121.82,2006,1.0,26.0,2006,2.0,5.0,63470.0,Km2,14938.0,9600.0,256641.0,256641.0,4.0
Flood,Riverine flood,6.89,-58.66,2006,1.0,8.0,2006,2.0,14.0,24224.0,Km2,262974.0,169000.0,35000.0,35000.0,0.0
Flood,Riverine flood,34.21,45.49,2006,2.0,4.0,2006,2.0,12.0,77640.0,Km2,2023.0,1300.0,41890.0,41890.0,0.0
Flood,Flood (General),64.15,11.93,2006,1.0,30.0,2006,2.0,4.0,41520.0,Km2,0.0,0.0,200.0,200.0,1.0
Flood,Riverine flood,-16.45,179.65,2006,2.0,4.0,2006,2.0,9.0,2370.0,Km2,778.0,500.0,224.0,224.0,4.0
Flood,Riverine flood,-6.85,108.59,2006,1.0,26.0,2006,2.0,14.0,73070.0,Km2,42169.0,27100.0,10000.0,10000.0,19.0
Flood,Riverine flood,-9.07,147.28,2006,2.0,3.0,2006,2.0,19.0,34450.0,Km2,0.0,0.0,12000.0,0.0,1.0
Flood,Riverine flood,27.67,-5.91,2006,2.0,10.0,2006,2.0,15.0,180500.0,Km2,1867.0,1200.0,60000.0,60000.0,1.0
Flood,Riverine flood,-2.23,-79.98,2006,2.0,16.0,2006,5.0,6.0,30150.0,Km2,4357.0,2800.0,57670.0,57670.0,16.0
Flood,Flash flood,14.54,44.18,2006,2.0,20.0,2006,2.0,23.0,10710.0,Km2,0.0,0.0,2000.0,0.0,5.0
Flood,Flash flood,1.07,124.66,2006,2.0,13.0,2006,2.0,23.0,33830.0,Km2,38902.0,25000.0,17539.0,17500.0,39.0
Flood,Riverine flood,-24.53,17.98,2006,2.0,24.0,2006,2.0,28.0,16110.0,Km2,13211.0,8490.0,2100.0,2100.0,5.0
Flood,Riverine flood,42.6,20.83,2006,2.0,21.0,2006,3.0,2.0,10090.0,Km2,0.0,0.0,1200.0,1200.0,0.0
Flood,Riverine flood,-14.59,35.12,2006,3.0,7.0,2006,3.0,14.0,64890.0,Km2,0.0,0.0,8000.0,0.0,3.0
Flood,Flash flood,7.17,125.57,2006,3.0,4.0,2006,3.0,6.0,630.0,Km2,0.0,0.0,1000.0,1000.0,1.0
Storm,Tropical cyclone,-17.91,145.54,2006,3.0,20.0,2006,4.0,2.0,290.0,Kph,1836152.0,1180000.0,7030.0,0.0,0.0
Storm,Tropical cyclone,-25.68,115.13,2006,3.0,30.0,2006,4.0,5.0,235.0,Kph,0.0,0.0,500.0,500.0,0.0
Flood,Riverine flood,49.86,16.09,2006,3.0,28.0,2006,4.0,17.0,556.0,Km2,0.0,0.0,4200.0,4200.0,6.0
Flood,Riverine flood,45.26,20.75,2006,4.0,10.0,2006,5.0,7.0,35510.0,Km2,0.0,0.0,35000.0,35000.0,0.0
Flood,Riverine flood,15.1,43.88,2006,4.0,3.0,2006,4.0,5.0,91480.0,Km2,0.0,0.0,320.0,0.0,25.0
Flood,Riverine flood,-4.36,16.17,2006,4.0,8.0,2006,4.0,27.0,45540.0,Km2,0.0,0.0,5500.0,5500.0,1.0
Flood,Riverine flood,2.25,37.53,2006,4.0,4.0,2006,5.0,22.0,538000.0,Km2,0.0,0.0,17300.0,17300.0,60.0
Flood,Riverine flood,-14.18,132.39,2006,4.0,5.0,2006,4.0,10.0,39370.0,Km2,0.0,0.0,1100.0,1100.0,0.0
Flood,Riverine flood,37.69,-99.99,2006,4.0,4.0,2006,4.0,17.0,44110.0,Km2,403020.0,259000.0,600.0,600.0,1.0
Flood,Riverine flood,-27.44,24.83,2006,3.0,26.0,2006,3.0,30.0,2500.0,Km2,110480.0,71000.0,4160.0,4160.0,6.0
Flood,Riverine flood,22.15,-99.99,2006,3.0,14.0,2006,3.0,23.0,585.0,Km2,18673.0,12000.0,0.0,0.0,7.0
Flood,Riverine flood,-7.84,111.86,2006,4.0,19.0,2006,4.0,23.0,19040.0,Km2,0.0,0.0,402.0,400.0,22.0
Flood,Riverine flood,2.81,-52.29,2006,3.0,25.0,2006,4.0,23.0,1164000.0,Km2,0.0,0.0,116000.0,116000.0,8.0
Flood,Riverine flood,49.72,-56.05,2006,4.0,18.0,2006,4.0,24.0,730.0,Km2,0.0,0.0,200.0,200.0,0.0
Flood,Riverine flood,10.99,41.63,2006,4.0,9.0,2006,4.0,25.0,83390.0,Km2,0.0,0.0,10000.0,10000.0,0.0
Flood,Riverine flood,-4.26,143.22,2006,4.0,12.0,2006,4.0,18.0,41560.0,Km2,0.0,0.0,400.0,400.0,0.0
Flood,Riverine flood,53.54,-99.99,2006,4.0,12.0,2006,4.0,20.0,63270.0,Km2,0.0,0.0,1000.0,1000.0,0.0
Flood,Flash flood,17.43,82.81,2006,4.0,15.0,2006,4.0,18.0,190900.0,Km2,0.0,0.0,0.0,0.0,20.0
Flood,Riverine flood,42.27,42.83,2006,4.0,15.0,2006,4.0,24.0,29220.0,Km2,0.0,0.0,600.0,600.0,0.0
Flood,Riverine flood,44.5,23.87,2006,4.0,7.0,2006,5.0,14.0,1165.0,Km2,0.0,0.0,15011.0,15011.0,0.0
Flood,Flash flood,35.67,66.83,2006,4.0,28.0,2006,5.0,1.0,58310.0,Km2,0.0,0.0,5025.0,5000.0,19.0
Flood,Flash flood,-45.69,170.37,2006,4.0,26.0,2006,4.0,28.0,4630.0,Km2,4668.0,3000.0,1200.0,1200.0,0.0
Flood,Riverine flood,52.53,-82.09,2006,4.0,22.0,2006,5.0,31.0,7030.0,Km2,0.0,0.0,2000.0,2000.0,0.0
Flood,Riverine flood,50.78,87.14,2006,4.0,21.0,2006,5.0,11.0,144900.0,Km2,11532.0,7411.0,420.0,420.0,0.0
Flood,Riverine flood,5.27,102.15,2006,4.0,20.0,2006,4.0,21.0,2590.0,Km2,0.0,0.0,500.0,500.0,0.0
Storm,Tropical cyclone,18.37,94.95,2006,4.0,29.0,2006,5.0,5.0,240.0,Kph,0.0,0.0,60106.0,60075.0,34.0
Flood,Riverine flood,38.69,47.88,2006,5.0,8.0,2006,5.0,13.0,18310.0,Km2,24897.0,16000.0,2800.0,2800.0,14.0
Flood,Riverine flood,3.42,-56.48,2006,5.0,7.0,2006,5.0,29.0,27500.0,Km2,0.0,0.0,25000.0,25000.0,3.0
Flood,Riverine flood,26.92,106.58,2006,4.0,21.0,2006,5.0,15.0,175200.0,Km2,56018.0,36000.0,36900.0,36900.0,22.0
Flood,Riverine flood,-3.33,37.22,2006,5.0,9.0,2006,5.0,17.0,12430.0,Km2,0.0,0.0,19000.0,0.0,0.0
Flood,Riverine flood,43.16,-70.79,2006,5.0,11.0,2006,5.0,22.0,42910.0,Km2,132265.0,85000.0,2500.0,2500.0,2.0
Flood,Riverine flood,67.93,-99.99,2006,5.0,26.0,2006,6.0,2.0,3210.0,Km2,0.0,0.0,300.0,300.0,0.0
Flood,Riverine flood,26.6,94.02,2006,5.0,31.0,2006,7.0,24.0,47020.0,Km2,0.0,0.0,504000.0,504000.0,21.0
Flood,Riverine flood,10.54,76.05,2006,5.0,25.0,2006,6.0,2.0,42690.0,Km2,0.0,0.0,10800.0,10800.0,32.0
Flood,Riverine flood,26.75,118.57,2006,5.0,30.0,2006,6.0,9.0,76600.0,Km2,611532.0,393000.0,356000.0,356000.0,57.0
Flood,Riverine flood,18.73,75.23,2006,5.0,31.0,2006,6.0,4.0,395400.0,Km2,0.0,0.0,0.0,0.0,41.0
Flood,Riverine flood,30.92,112.9,2006,5.0,24.0,2006,5.0,31.0,107400.0,Km2,0.0,0.0,350035.0,0.0,3.0
Flood,Riverine flood,32.15,-4.05,2006,5.0,26.0,2006,5.0,28.0,33210.0,Km2,0.0,0.0,1100.0,1100.0,6.0
Flood,Riverine flood,-3.86,29.67,2006,5.0,17.0,2006,5.0,28.0,2700.0,Km2,0.0,0.0,5000.0,5000.0,1.0
Flood,Flash flood,18.18,100.15,2006,5.0,22.0,2006,6.0,11.0,78280.0,Km2,38902.0,25000.0,342895.0,342895.0,116.0
Flood,Riverine flood,34.52,65.56,2006,5.0,19.0,2006,5.0,23.0,21480.0,Km2,0.0,0.0,615.0,465.0,21.0
Flood,Riverine flood,26.2,112.75,2006,6.0,13.0,2006,6.0,16.0,58070.0,Km2,0.0,0.0,1410000.0,1410000.0,2.0
Flood,Flash flood,25.51,106.51,2006,6.0,12.0,2006,6.0,16.0,11680.0,Km2,219405.0,141000.0,12000.0,0.0,50.0
Flood,Riverine flood,24.07,120.79,2006,6.0,10.0,2006,6.0,13.0,14310.0,Km2,180705.0,116130.0,300.0,300.0,3.0
Flood,Riverine flood,23.42,111.38,2006,6.0,8.0,2006,6.0,15.0,4210.0,Km2,0.0,0.0,4600024.0,4600000.0,21.0
Flood,Riverine flood,58.33,114.58,2006,6.0,4.0,2006,6.0,12.0,274800.0,Km2,194508.0,125000.0,1300.0,1300.0,0.0
Flood,Flash flood,-5.17,120.11,2006,6.0,19.0,2006,6.0,23.0,3100.0,Km2,85895.0,55200.0,29231.0,28505.0,236.0
